Instrument Name,SDS1104X-E
Serial Number,SDSMMGKC6R1944
Software Version,8.3.6.1.37R8
Awg Type,USB
DUT Input Source,CH1
DUT Output Source1,CH2
DUT Output Source2,None
DUT Output Source3,None
DUT Channel Gain,Auto
Sweep Type,Simple
Awg Amplitude,1V
Awg Offset,0V
Awg Amplitude reference level,1V
Awg Load,50ohm
Awg Amplitude Unit,Vpp
Sweep Mode,Logarithmic
Start Frequency,100Hz
Stop Frequency,600Hz
Sweep Line,50
Sweep Log(dec),200
Amplitude Mode,Vout/Vin
Amplitude Axis Type,Logarithmic
Amplitude Axis Range,-36dB,4dB
Phase Unit,Degree
Phase Axis Range,-90Deg,70Deg
Bode Data
Number of Points,157
Frequency(Hz),CH2 Amplitude(dB),CH2 Phase(Deg)
100,-0.201240083,-9.58389642
101.157945,-0.203805209,-9.73720427
102.329299,-0.211209805,-9.88449837
103.514217,-0.216659264,-10.0336595
104.712855,-0.216006275,-10.1917438
105.925373,-0.220668255,-10.3578
107.151931,-0.226968405,-10.5206452
108.392691,-0.227482794,-10.6952788
109.64782,-0.234008878,-10.8599602
110.917482,-0.239110298,-11.0438203
112.201845,-0.244347899,-11.2401654
113.501082,-0.249661589,-11.4215004
114.815362,-0.253174054,-11.6135917
116.144861,-0.259882633,-11.8170135
117.489755,-0.267057053,-12.0268118
118.850223,-0.271310672,-12.2227535
120.226443,-0.278810485,-12.4511752
121.6186,-0.286769947,-12.6640038
123.026877,-0.297129432,-12.901118
124.451461,-0.304268878,-13.1249612
125.892541,-0.310632619,-13.3535569
127.350308,-0.32069768,-13.6248414
128.824955,-0.332340042,-13.8710759
130.316678,-0.342379863,-14.1252048
131.825674,-0.349884848,-14.4122416
133.352143,-0.363034032,-14.6810178
134.896288,-0.371748686,-14.9757947
136.458314,-0.38547581,-15.2796944
138.038426,-0.395745175,-15.5752479
139.636836,-0.409726055,-15.9026872
141.253754,-0.424550204,-16.2293477
142.889396,-0.441551699,-16.5750565
144.543977,-0.460170471,-16.9213713
146.217717,-0.474518365,-17.2905086
147.910839,-0.493914527,-17.6718317
149.623566,-0.511297432,-18.0643277
151.356125,-0.532627369,-18.4670638
153.108746,-0.553080134,-18.897543
154.881662,-0.577890979,-19.3278076
156.675107,-0.602746665,-19.7909655
158.489319,-0.627486942,-20.2708263
160.324539,-0.656795475,-20.7541521
162.18101,-0.686335631,-21.3077858
164.058977,-0.720721892,-21.8397774
165.958691,-0.755669589,-22.3937214
167.880402,-0.794018931,-22.9675988
169.824365,-0.833976597,-23.6025937
171.790839,-0.879674255,-24.2437735
173.780083,-0.927129573,-24.9361931
175.792361,-0.977946571,-25.6444064
177.827941,-1.03789659,-26.4006184
179.887092,-1.0985259,-27.1901471
181.970086,-1.16318892,-28.0134994
184.0772,-1.23988994,-28.8827436
186.208714,-1.31618867,-29.8011012
188.364909,-1.40866135,-30.7844336
190.546072,-1.50292986,-31.8081646
192.752491,-1.61276488,-32.8817627
194.98446,-1.72857,-34.0439631
197.242274,-1.86843643,-35.2636457
199.526231,-2.01011777,-36.552079
201.836636,-2.17911048,-37.9247859
204.173794,-2.36053173,-39.3934293
206.538016,-2.5726273,-40.933253
208.929613,-2.80629647,-42.5846051
211.348904,-3.08698473,-44.3258117
213.796209,-3.39104145,-46.1835389
216.271852,-3.73419717,-48.1629887
218.776162,-4.12466037,-50.2516783
221.309471,-4.58307973,-52.4606492
223.872114,-5.11376323,-54.7828179
226.464431,-5.76064752,-57.2396328
229.086765,-6.49029665,-59.7873707
231.739465,-7.34430676,-62.4154698
234.422882,-8.36809473,-65.1231944
237.137371,-9.61837822,-67.825013
239.883292,-11.161243,-70.4757405
242.66101,-13.1505487,-72.7903893
245.470892,-15.8282421,-74.4127152
248.313311,-19.8289256,-73.9941202
251.188643,-27.3168611,-62.6295647
254.097271,-30.6314038,49.3934728
257.039578,-21.3032898,72.6257131
260.015956,-16.7657741,74.3209002
263.026799,-13.8606171,73.0456591
266.072506,-11.7482831,70.8568756
269.15348,-10.1244943,68.3793242
272.270131,-8.82267678,65.8170066
275.42287,-7.75300041,63.2148089
278.612117,-6.87079535,60.6718751
281.838293,-6.11636314,58.2138391
285.101827,-5.47136359,55.8181505
288.40315,-4.91543918,53.5502084
291.742701,-4.43967037,51.3840997
295.120923,-4.02520564,49.3068615
298.538262,-3.65745311,47.3715379
301.995172,-3.33388783,45.5216017
305.492111,-3.04446373,43.7882916
309.029543,-2.79500111,42.1324788
312.607937,-2.57315384,40.5915434
316.227766,-2.3770747,39.1116053
319.889511,-2.19651972,37.7253258
323.593657,-2.03876727,36.4182851
327.340695,-1.89728738,35.1779447
331.131121,-1.76764285,33.9828628
334.965439,-1.65257784,32.8849497
338.844156,-1.54704196,31.8336553
342.767787,-1.4484848,30.836436
346.73685,-1.36068495,29.8855635
350.751874,-1.28154692,28.9904175
354.813389,-1.20629328,28.1378589
358.921935,-1.14127808,27.3225338
363.078055,-1.07997068,26.5446447
367.2823,-1.01896822,25.803908
371.535229,-0.965797296,25.0955557
375.837404,-0.917228041,24.4333856
380.189396,-0.876064661,23.7828397
384.591782,-0.829892356,23.1680474
389.045145,-0.792398699,22.5928056
393.550075,-0.751660105,22.0073927
398.107171,-0.721194438,21.4860814
402.717034,-0.686225719,20.9696712
407.380278,-0.657140318,20.4672028
412.097519,-0.630797313,19.9869149
416.869383,-0.604902413,19.5295894
421.696503,-0.585387274,19.1009087
426.579519,-0.556742768,18.6662565
431.519077,-0.536517209,18.2535145
436.515832,-0.516041075,17.8532917
441.570447,-0.497710929,17.476459
446.683592,-0.478880123,17.1133979
451.855944,-0.462706897,16.7574116
457.08819,-0.445755793,16.4166552
462.381021,-0.428845011,16.0856391
467.735141,-0.417097861,15.7704279
473.151259,-0.40386444,15.4530539
478.630092,-0.389633257,15.1571363
484.172368,-0.37788663,14.8610229
489.778819,-0.365687612,14.5815753
495.450191,-0.356949193,14.3084129
501.187234,-0.345521836,14.0185317
506.990708,-0.33701404,13.7855471
512.861384,-0.324376794,13.5341757
518.800039,-0.315717972,13.281439
524.80746,-0.308838631,13.0558946
530.884444,-0.30031262,12.8235321
537.031796,-0.292809517,12.5972163
543.250331,-0.283323622,12.3855119
549.540874,-0.28107185,12.1616676
555.904257,-0.272086475,11.959264
562.341325,-0.261643125,11.7613393
568.852931,-0.254132174,11.5674208
575.439937,-0.250216096,11.3784867
582.103218,-0.243183798,11.1901818
588.843655,-0.23826807,11.0112416
595.662144,-0.23547442,10.8404117
600,-0.231443039,10.7217424
